Program ID,Athlete ID,Athlete First Name,Athlete Last Name,Country,Start Number,Swim,T1,Bike,T2,Run,Position,Status,Total Time
8597,7788,Alistair,Brownlee,GBR,30,00:17:04,00:00:39,00:59:08,00:00:27,00:29:07,1,,01:46:25
8597,5695,Javier,Gomez Noya,ESP,51,00:17:00,00:00:36,00:59:16,00:00:28,00:29:16,2,,01:46:36
8597,11378,Jonathan,Brownlee,GBR,31,00:17:02,00:00:38,00:59:11,00:00:28,00:29:37,3,,01:46:56
8597,5718,David,Hauss,FRA,11,00:17:24,00:00:38,00:58:50,00:00:29,00:29:53,4,,01:47:14
8597,5662,Laurent,Vidal,FRA,14,00:17:27,00:00:43,00:58:42,00:00:28,00:30:01,5,,01:47:21
8597,5692,Jan,Frodeno,GER,46,00:17:20,00:00:46,00:58:46,00:00:28,00:30:06,6,,01:47:26
8597,7743,Alexander,Bryukhankov,RUS,25,00:17:22,00:00:40,00:58:51,00:00:32,00:30:10,7,,01:47:35
8597,5320,Sven,Riederer,SUI,21,00:17:22,00:00:39,00:58:52,00:00:30,00:30:23,8,,01:47:46
8597,10539,Joao,Silva,POR,17,00:17:22,00:00:36,00:58:54,00:00:26,00:30:33,9,,01:47:51
8597,11060,Alessandro,Fabian,ITA,35,00:17:01,00:00:41,00:59:10,00:00:28,00:30:43,10,,01:48:03
8597,11143,Vincent,Luis,FRA,12,00:17:20,00:00:38,00:58:53,00:00:27,00:31:00,11,,01:48:18
8597,5297,Bevan,Docherty,NZL,54,00:17:26,00:00:37,00:58:51,00:00:29,00:31:12,12,,01:48:35
8597,5651,Ivan,Vasiliev,RUS,27,00:17:03,00:00:46,00:59:04,00:00:28,00:31:22,13,,01:48:43
8597,5325,Hunter,Kemper,USA,43,00:17:25,00:00:44,00:58:44,00:00:33,00:31:20,14,,01:48:46
8597,5296,Kris,Gemmell,NZL,55,00:17:26,00:00:37,00:58:48,00:00:30,00:31:31,15,,01:48:52
8597,5747,Steffen,Justus,GER,47,00:18:07,00:00:42,00:59:36,00:00:31,00:30:16,16,,01:49:12
8597,16392,Richard,Murray,NED,19,00:18:11,00:00:35,00:59:38,00:00:26,00:30:25,17,,01:49:15
8597,5591,Courtney,Atkinson,AUS,39,00:17:26,00:00:39,00:58:48,00:00:28,00:31:58,18,,01:49:19
8597,11402,Mario,Mola,ESP,52,00:18:09,00:00:38,00:59:40,00:00:29,00:30:27,19,,01:49:23
8597,5327,Hirokatsu,Tayama,JPN,38,00:17:24,00:00:44,00:58:45,00:00:34,00:31:57,20,,01:49:24
8597,7747,Dmitry,Polyanskiy,RUS,26,00:17:14,00:00:38,01:00:35,00:00:29,00:30:28,21,,01:49:24
8597,11092,Richard,Varga,SVK,18,00:16:56,00:00:41,00:59:15,00:00:30,00:32:03,22,,01:49:25
8597,5942,Gavin,Noble,IRL,7,00:17:24,00:00:37,00:58:50,00:00:30,00:32:26,23,,01:49:47
8597,7786,Jose Miguel,Perez,ESP,53,00:18:07,00:00:40,00:59:40,00:00:29,00:30:57,24,,01:49:53
8597,6202,Kyle,Jones,CAN,3,00:18:31,00:00:38,00:59:17,00:00:29,00:31:03,25,,01:49:58
8597,10166,Simon,De Cuyper,BEL,28,00:17:58,00:00:42,00:59:45,00:00:25,00:31:10,26,,01:50:00
8597,5348,Brent,McMahon,CAN,4,00:18:04,00:00:40,00:59:40,00:00:30,00:31:09,27,,01:50:03
8597,7503,Crisanto,Grajales Valencia,MEX,50,00:18:10,00:00:38,00:59:36,00:00:33,00:31:11,28,,01:50:08
8597,29395,Davide,Uccellari,ITA,36,00:18:26,00:00:44,00:59:16,00:00:30,00:31:13,29,,01:50:09
8597,6707,Jan,Celustka,CZE,44,00:17:25,00:00:40,00:58:49,00:00:29,00:32:54,30,,01:50:17
8597,5332,Maik,Petzold,GER,48,00:17:23,00:00:42,00:58:47,00:00:31,00:33:00,31,,01:50:23
8597,5711,Brad,Kahlefeldt,AUS,40,00:18:06,00:00:39,00:59:40,00:00:29,00:31:29,32,,01:50:23
8597,11818,Ryan,Sissons,NZL,56,00:18:05,00:00:37,00:59:45,00:00:29,00:31:31,33,,01:50:27
8597,5345,Tyler,Butterfield,BER,6,00:18:58,00:00:38,00:58:32,00:00:32,00:31:52,34,,01:50:32
8597,15944,Brendan,Sexton,AUS,41,00:18:53,00:00:42,00:58:51,00:00:29,00:31:41,35,,01:50:36
8597,5929,Reinaldo,Colucci,BRA,33,00:18:56,00:00:41,00:58:47,00:00:28,00:32:07,36,,01:50:59
8597,5359,Stuart,Hayes,GBR,32,00:17:17,00:00:39,00:59:04,00:00:35,00:33:29,37,,01:51:04
8597,15371,Gonzalo Raul,Tellechea,ARG,49,00:18:59,00:00:38,00:58:48,00:00:31,00:32:11,38,,01:51:07
8597,5657,Ruedi,Wild,SUI,22,00:18:28,00:00:42,00:59:17,00:00:28,00:32:15,39,,01:51:10
8597,5931,Andreas,Giglmayr,AUT,20,00:18:57,00:00:43,00:58:45,00:00:28,00:32:21,40,,01:51:14
8597,5823,Bruno,Pais,POR,16,00:18:57,00:00:42,00:58:44,00:00:29,00:32:30,41,,01:51:22
8597,5331,Danylo,Sapunov,UKR,23,00:18:08,00:00:42,00:59:35,00:00:29,00:32:38,42,,01:51:32
8597,5742,Yuichi,Hosoda,JPN,37,00:18:06,00:00:43,00:59:37,00:00:31,00:32:43,43,,01:51:40
8597,9917,Diogo,Sclebin,BRA,34,00:18:10,00:00:41,00:59:36,00:00:31,00:32:53,44,,01:51:51
8597,6236,Premysl,Svarc,CZE,45,00:18:08,00:00:41,00:59:37,00:00:29,00:33:13,45,,01:52:08
8597,16884,Faquan,Bai,CHN,2,00:17:55,00:00:46,00:59:46,00:00:33,00:33:26,46,,01:52:26
8597,5750,Marek,Jaskolka,POL,8,00:17:58,00:00:41,00:59:45,00:00:29,00:33:45,47,,01:52:38
8597,5620,Leonardo,Chacon,CRC,1,00:17:24,00:00:42,01:00:19,00:00:32,00:33:42,48,,01:52:39
8597,10938,Hervé,Banti,MON,9,00:18:55,00:00:40,00:58:51,00:00:32,00:33:44,49,,01:52:42
8597,5644,Felipe,Van De Wyngard,CHI,24,00:18:53,00:00:41,00:58:52,00:00:33,00:34:03,50,,01:53:02
8597,5864,Manuel,Huerta,PUR,42,00:18:57,00:00:39,00:58:51,00:00:33,00:34:39,51,,01:53:39
8597,10966,Christopher,Felgate,ZIM,10,00:18:09,00:00:43,00:59:36,00:00:34,00:34:51,52,,01:53:53
8597,18332,Carlos Javier,Quinchara Forero,COL,29,00:18:02,00:00:47,00:59:37,00:00:31,00:35:13,53,,01:54:10
8597,6777,Min Ho,Heo,KOR,15,00:18:02,00:00:38,00:59:46,00:00:28,00:35:36,54,,01:54:30
8597,5302,Simon,Whitfield,CAN,5,00:17:23,00:00:44,00:00:00,00:00:00,00:00:00,,DNF,00:00:00
